notification_id,app_source,sender_type,content_type,time_slot,hour,user_context,notification_text,base_importance,eff_importance,true_optimal_action
0,instagram,unknown,spam,evening,20,relaxing,"Free followers! 10,000 real followers in 24hrs",1.2,1.2,MUTE
1,whatsapp,known_friend,social_invite,morning,7,waking_up,"We're heading to the canteen, join us?",3.5,3.3,BATCH
2,whatsapp,known_friend,personal_chat,afternoon,15,studying,Hey are you free tonight?,4.0,3.25,BATCH
3,whatsapp,known_friend,personal_chat,evening,20,relaxing,Are you coming to the thing later?,4.0,4.0,NOW
4,unknown,spam,spam,evening,18,with_family,URGENT: Your SIM card will be blocked in 24 hours,1.1,0.7,MUTE
5,whatsapp,group_academic,assignment_update,class_am,9,studying,"I've updated the shared doc, please review before tomorrow",4.2,3.45,NOW
6,whatsapp,known_friend,personal_chat,evening,19,relaxing,Can you call me when you get a chance?,4.0,4.0,NOW
7,unknown,spam,spam,late_night,22,studying,Your KYC is pending — complete now to avoid suspension,1.1,0.5,MUTE
8,whatsapp,group_academic,meeting_reminder,night,4,sleeping,"Study group at 6 PM in the library, confirm attendance",3.9,2.1,BATCH
9,instagram,known_friend,personal_chat,class_am,11,in_class,Haha I saw your post 😂,3.2,2.1,BATCH
10,whatsapp,known_friend,personal_chat,lunch,12,studying,Dude you need to see this,4.0,3.25,NOW
11,academic,professor,assignment,class_am,11,studying,Assignment 3 has been posted. Due: Sunday 11:59 PM,4.8,4.05,NOW
12,instagram,known_friend,personal_chat,evening,18,studying,Replied to your story,3.2,2.45,BATCH
13,instagram,known_friend,social_invite,evening,19,with_family,Notification from instagram,2.5,2.1,BATCH
14,whatsapp,known_friend,social_invite,class_am,9,in_class,"Party at Priya's tonight, you in?",3.5,2.4,BATCH
15,instagram,rare_contact,social_chat,evening,20,studying,Replied to your story,2.65,1.9,BATCH
16,whatsapp,known_friend,personal_chat,class_am,10,in_class,Hey are you free tonight?,4.0,2.9,BATCH
17,instagram,known_friend,personal_chat,late_night,22,relaxing,Haha I saw your post 😂,3.2,3.2,BATCH
18,instagram,unknown,promo_offer,evening,18,studying,New followers waiting! Boost your profile now,1.5,0.75,MUTE
19,whatsapp,known_friend,personal_chat,night,5,sleeping,Dude you need to see this,4.0,2.2,BATCH
20,instagram,rare_contact,social_chat,lunch,13,with_friends,Replied to your story,2.65,2.35,MUTE
21,whatsapp,known_friend,social_invite,afternoon,16,studying,"Group dinner plan for Saturday, save the date",3.5,2.75,BATCH
22,whatsapp,group_academic,meeting_reminder,afternoon,16,with_friends,"Team sync call in 20 minutes, Google Meet link in chat",3.9,3.6,NOW
23,academic,professor,announcement,class_pm,15,studying,Office hours moved to Friday 2-4 PM this week,4.2,3.45,BATCH
24,instagram,known_friend,social_invite,class_pm,15,studying,Notification from instagram,2.5,1.75,MUTE
25,whatsapp,group_academic,group_chat,class_pm,16,in_class,Who has the textbook PDF? Please share,3.2,2.1,BATCH
26,email,known_contact,personal_chat,class_am,9,in_class,Wanted to share this opportunity with you,3.2,2.1,BATCH
